id,date,hap,fdate,saledate,fdummy,sdummy,spell,saleval,sqft,age
056.12.03.004.00,9/1/14,0,,,0,0,60,11.03488966,6.93439721,4.553876892
056.12.10.017.00,9/1/14,0,,,0,0,60,11.19821472,7.401841579,4.574710979
056.13.02.041.00,9/1/14,0,,,0,0,60,11.38509209,7.340186835,4.553876892
056.13.02.135.00,9/1/14,0,,,0,0,60,10.81977828,7.578656851,4.615120517
056.13.02.139.00,9/1/14,0,,4/1/15,0,1,7,11.56171563,7.419380583,4.574710979
056.13.15.018.00,9/1/14,0,,,0,0,60,11.36210258,7.057036982,4.219507705
056.31.09.015.00,9/1/14,0,,,0,0,60,9.61580548,6.966024187,4.553876892
056.31.10.024.00,9/1/14,1,,8/1/17,0,1,35,11.17043516,7.154615357,4.543294782
056.31.10.029.00,9/1/14,0,,3/1/15,0,1,6,10.1266311,6.646390515,4.510859507
056.31.18.012.00,9/1/14,0,10/1/14,,1,0,1,10.56100756,6.761572769,4.189654742
056.32.05.001.00,9/1/14,0,,4/1/15,0,1,7,11.00209984,7.291656209,4.521788577
056.32.24.004.00,9/1/14,0,10/1/14,,1,0,1,11.04452056,7.185387016,4.521788577
056.32.25.032.00,9/1/14,0,,,0,0,60,11.28978191,7.655864018,4.691347882
056.32.27.017.00,9/1/14,0,,,0,0,60,11.28978191,7.377758908,4.382026635
056.34.04.009.00,9/1/14,0,,,0,0,60,10.96647266,7.054449658,4.394449155
056.41.03.018.00,9/1/14,0,12/1/14,,1,0,3,10.73856823,7.696667082,4.779123493
056.42.01.039.00,9/1/14,0,,,0,0,60,11.39639165,7.106606138,4.521788577
056.42.01.068.00,9/1/14,1,,12/1/18,0,1,51,11.15625052,7.06646697,4.59511985
056.43.05.011.00,9/1/14,0,,,0,0,60,11.49272276,7.840706452,4.736198448
056.44.05.014.00,9/1/14,0,,,0,0,60,10.81977828,7.446001498,4.700480366
040.30.00.001.07,10/1/14,0,,,0,0,60,11.00209984,7.263329617,4.553876892
040.43.09.043.00,10/1/14,0,,10/1/15,0,1,12,10.858999,7.636752112,4.852030264
044.20.00.039.00,10/1/14,0,,7/1/17,0,1,33,10.30895266,7.691656823,4.17438727
045.10.01.275.00,10/1/14,0,,,0,0,60,12.06104687,7.707961532,2.890371758
045.30.00.654.00,10/1/14,0,,,0,0,60,11.66134547,6.915723449,3.828641396
054.14.12.015.00,10/1/14,0,,,0,0,60,13.01700286,7.996317232,4.927253685
054.22.11.013.01,10/1/14,0,,,0,0,60,7.696212639,8.060855753,5.043425117
054.22.26.001.00,10/1/14,0,,2/1/15,0,1,4,10.41331268,7.562161631,3.17805383
054.22.26.001.00,10/1/14,0,,2/1/15,0,1,4,10.41331268,7.562161631,3.17805383
054.23.14.006.00,10/1/14,0,,,0,0,60,12.39669301,7.780720886,4.844187086
054.24.12.024.00,10/1/14,0,,,0,0,60,10.84349481,7.539027056,4.770684624
055.12.01.010.00,10/1/14,0,,,0,0,60,9.903487553,6.977281342,4.49980967
055.12.10.016.00,10/1/14,0,,,0,0,60,10.30895266,7.286191715,4.691347882
055.12.21.017.00,10/1/14,0,,4/1/17,0,1,30,10.56100756,7.33432935,4.96284463
055.12.21.017.00,10/1/14,0,,10/1/17,0,1,36,10.56100756,7.33432935,4.96284463
055.12.21.017.00,10/1/14,0,,11/1/17,0,1,37,10.56100756,7.33432935,4.96284463
055.12.21.017.00,10/1/14,0,,4/1/15,0,1,6,10.56100756,7.33432935,4.96284463
055.14.27.027.00,10/1/14,0,,12/1/17,0,1,38,10.1266311,7.241366283,4.859812404
055.20.01.002.00,10/1/14,0,,5/1/17,0,1,31,11.60823564,7.677863501,4.043051268
055.20.10.033.00,10/1/14,0,9/1/15,,1,0,11,11.64395373,6.958448393,3.951243719
055.21.01.108.00,10/1/14,0,,11/1/18,0,1,49,11.82846587,7.869401713,3.091042453
055.21.01.111.00,10/1/14,0,,11/1/18,0,1,49,11.44357539,7.869401713,3.044522438
055.21.01.115.00,10/1/14,0,,,0,0,60,11.33020383,7.869401713,3.091042453
055.21.01.118.00,10/1/14,0,,11/1/18,0,1,49,11.72803684,7.869401713,3.091042453
055.21.01.123.00,10/1/14,0,,11/1/18,0,1,49,11.44357539,7.869401713,3.091042453
055.21.04.010.00,10/1/14,0,,,0,0,60,10.57387775,6.866933284,4.682131227
055.23.08.014.00,10/1/14,0,,,0,0,60,10.35774282,7.063048163,4.682131227
055.23.18.007.00,10/1/14,0,,3/1/18,0,1,41,8.853665428,7.238496841,4.584967479
055.24.05.001.00,10/1/14,0,,4/1/15,0,1,6,10.9560559,7.549609165,4.787491743
055.24.05.001.00,10/1/14,0,,7/1/15,0,1,9,10.9560559,7.549609165,4.787491743
055.31.01.019.00,10/1/14,0,,,0,0,60,10.30895266,8.013343181,4.905274778
055.31.10.028.00,10/1/14,0,9/1/15,,1,0,11,10.81977828,8.125630988,4.8978398
055.32.01.013.00,10/1/14,0,,,0,0,60,11.08214255,7.209340257,4.744932128
055.32.02.031.00,10/1/14,1,,,0,0,60,10.41331268,7.491087594,4.820281566
